Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
English Language and Literature/letters,New Hampshire,Commuter,University,Male,FT,Non-Athlete,24,S,1993,,138,15,93,3.3,3.7,4,1,3,1997,97,1998,
Architecture and Related Services,Mississippi,Commuter,Private,Female,FT,Non-Athlete,25,M,1992,,65,55,1,2,2.9,0,1,0,1996,96,1996,have no hesitation in recommending
Engineering Technologies and Engineering-Related Fields,Mississippi,Off-Campus University Housing,All Scholarship Types,Male,FT,RA,19,M,1993,,135,126,6,0.75,2.1,4,2,3,1997,97,1999,willing to take on new responsibilities
Engineering Technologies and Engineering-Related Fields,Washington,Commuter,University,Male,FT,Non-Athlete,20,M,1988,,5,1,4,1.9,2.6,1,1,3,1992,92,1996,have admiration and respect for
"Business, Management, Marketing, and Related Support Services",New Mexico,Commuter,None,Male,PT,Non-Athlete,24,S,1992,,65,16,4,3.1,1.1,3,1,2,1996,96,1998,
Education,Indiana,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,22,S,2002,,144,14,105,2.6,1.1,2,1,1,2006,6,2007,
"Area, Ethnic, Cultural, Gender, and Group Studies",Washington,Commuter,Private,Male,FT,Non-Athlete,18,M,1988,,88,42,26,0.75,3.3,0,1,2,1992,92,1993,is personable and easy to work with
Biological and Biomedical Sciences,Texas,Commuter,University,Male,FT,Non-Athlete,19,M,2003,,108,33,74,2.7,2.9,0,2,1,2007,7,2011,
Military Technologies and Applied Sciences,Iowa,On-Campus Dorm,Other,Female,FT,RA,17,S,1987,,22,16,4,1.9,1,1,2,2,1991,91,1991,Builds on knowledge
Construction Trades,Oklahoma,Off-Campus University Housing,None,Female,FT,RA,25,S,1991,,138,94,3,2,1.1,0,1,3,1995,95,1998,works well with little supervision
Legal Professions and Studies,Kansas,On-Campus University Housing,None,Male,FT,Non-Athlete,18,S,1988,,99,79,16,,1.8,0,2,1,1992,92,1996,give my unqualified recommendation
"Homeland Security, Law Enforcement, Firefighting",Wyoming,Off-Campus Other,Private,Female,PT,Non-Athlete,22,M,1990,,136,30,36,2.8,1.2,2,2,1,1994,94,1998,her sensitivity and concern for others
Biological and Biomedical Sciences,Mississippi,Commuter,Private,Female,PT,Non-Athlete,24,M,1986,,81,49,7,4,3.3,0,1,0,1990,90,1992,have no hesitation in recommending
Aviation,Kentucky,On-Campus University Housing,Private,Male,PT,Athelete,19,M,1986,,8,4,1,3.7,3.4,3,1,3,1990,90,1992,
Legal Professions and Studies,Maryland,On-Campus Dorm,Private,Female,FT,Non-Athlete,24,M,1994,,102,74,8,3.5,1.8,3,2,1,1998,98,1998,
Legal Professions and Studies,Pennsylvania,Commuter,All Scholarship Types,Male,FT,Non-Athlete,17,M,1986,,47,8,35,3.4,3.6,0,1,0,1990,90,1994,
Family and Consumer Sciences/human Sciences,Maine,Off-Campus University Housing,None,Male,FT,Non-Athlete,18,S,2002,,33,28,2,2.4,2.7,3,2,0,2006,6,2010,
Biological and Biomedical Sciences,Wyoming,Commuter,University,Male,FT,Non-Athlete,23,S,1995,,94,1,84,3.2,1.7,2,2,2,1999,99,2003,
English Language and Literature/letters,West Virginia,Off-Campus Other,Private,Female,FT,RA,25,S,1989,,108,15,71,2.8,1.1,1,2,4,1993,93,1996,
Biological and Biomedical Sciences,Florida,Off-Campus University Housing,Other,Male,PT,RA,19,M,1993,,62,4,28,,3.9,0,1,3,1997,97,2000,
"Business, Management, Marketing, and Related Support Services",North Dakota,Commuter,All Scholarship Types,Male,FT,RA,21,S,2003,,124,109,11,2,4,1,2,2,2007,7,2010,
Mathematics and Statistics,Wisconsin,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,24,M,1992,,68,30,1,3.3,2.3,1,1,3,1996,96,1996,ADHD
Biological and Biomedical Sciences,Iowa,Off-Campus University Housing,University,Female,FT,RA,25,S,1992,,20,11,9,1.1,2.9,4,2,2,1996,96,1998,
History,New Mexico,Commuter,None,Female,FT,Non-Athlete,19,M,1987,,60,19,28,,2.7,2,1,0,1991,91,1994,would be an asset to your program
Library Science,Guam,Off-Campus Other,University,Female,PT,Athelete,24,M,1999,,10,9,1,3.5,3.5,1,1,3,2003,3,2003,if you have further questions
Undeclared,Iowa,Off-Campus Other,Other,Female,PT,Athelete,20,M,1996,,118,90,2,3.3,3.8,4,2,4,2000,0,2001,communicates effectively in writing
Military Technologies and Applied Sciences,American,Off-Campus University Housing,Other,Male,FT,Athelete,20,M,1991,,149,49,93,2.6,3.6,0,1,3,1995,95,1998,
Liberal Arts and Sciences Studies and Humanities,Alaska,Off-Campus Other,University,Female,PT,Non-Athlete,22,M,1989,,66,25,23,1.8,3,2,1,0,1993,93,1993,have had the opportunity to
Education,Kansas,Off-Campus Other,Other,Female,PT,Non-Athlete,18,M,2000,,110,80,20,3.8,2.8,0,1,3,2004,4,2004,have admiration and respect for
Family and Consumer Sciences/human Sciences,Maryland,Commuter,Private,Male,PT,Non-Athlete,17,M,1995,,57,19,23,3.2,2.7,0,2,4,1999,99,2003,
Computer and Information Sciences and Support Services,Nevada,Commuter,All Scholarship Types,Male,FT,RA,19,S,2002,,63,4,17,3,1.2,3,1,2,2006,6,2008,would be pleased to provide a reference for
Engineering,South Carolina,On-Campus University Housing,None,Male,FT,Athelete,22,M,1992,,142,86,10,2.4,4,0,2,4,1996,96,1999,is personable and easy to work with
Legal Professions and Studies,Maine,Off-Campus University Housing,University,Female,PT,Non-Athlete,18,S,1986,,58,37,9,1,3.7,3,1,0,1990,90,1992,a creative problem-solver
Military Technologies and Applied Sciences,Montana,On-Campus Dorm,Other,Female,FT,Athelete,19,S,1985,,68,11,43,3,3.4,2,1,3,1989,89,1989,
Legal Professions and Studies,California,Off-Campus Other,Other,Female,FT,Non-Athlete,25,S,2004,,21,0,15,1.7,2.8,4,2,3,2008,8,2009,
Biological and Biomedical Sciences,Alabama,On-Campus University Housing,None,Male,PT,Athelete,18,M,1987,,79,6,24,2.5,3.5,1,2,4,1991,91,1993,
Multi/interdisciplinary Studies,Minnesota,On-Campus University Housing,University,Female,FT,RA,24,M,1994,,122,9,46,3.7,3.5,2,1,3,1998,98,2002,has worked directly under my supervision
Education,Pennsylvania,On-Campus University Housing,Other,Male,FT,Non-Athlete,23,M,1999,,93,89,2,3.4,2.2,3,2,2,2003,3,2003,was a student in two of my classes
History,Nevada,Off-Campus Other,Other,Male,FT,Non-Athlete,25,M,1999,,8,6,2,3.4,,1,1,4,2003,3,2007,
Health Professions and Related Programs,Kansas,Off-Campus Other,None,Male,PT,RA,25,M,1988,,31,6,14,1.2,3.8,3,1,1,1992,92,1993,punctual and hard working
"Foreign Languages, Literatures, and Linguistics",Iowa,Off-Campus University Housing,Other,Female,PT,Non-Athlete,25,S,1999,,25,0,0,1.3,3.7,0,2,0,2003,3,2005,
All Majors,Arkansas,Commuter,All Scholarship Types,Male,FT,Non-Athlete,25,M,1994,,135,19,105,3.4,3.4,0,1,4,1998,98,2002,works well with oouthers
History,Pennsylvania,On-Campus University Housing,Private,Male,FT,Non-Athlete,17,M,1990,,138,3,50,1.4,2,1,2,0,1994,94,1997,
Mathematics and Statistics,Nevada,Off-Campus Other,None,Female,FT,RA,22,M,1988,,33,28,2,2.8,3.6,4,2,1,1992,92,1992,
"Area, Ethnic, Cultural, Gender, and Group Studies",Wyoming,On-Campus Dorm,None,Male,FT,Non-Athlete,25,M,2001,,26,6,8,2.8,3.8,0,2,1,2005,5,2006,
Family and Consumer Sciences/human Sciences,Connecticut,Off-Campus University Housing,None,Male,FT,Non-Athlete,17,M,2001,,55,12,9,2.6,1.1,3,1,2,2005,5,2007,should you have any questions
Mathematics and Statistics,West Virginia,On-Campus University Housing,University,Male,FT,RA,18,S,2001,,3,1,1,2.6,1.2,4,1,4,2005,5,2007,
Biological and Biomedical Sciences,Guam,Commuter,Private,Female,PT,Non-Athlete,25,M,2001,,25,12,10,1.9,3.8,3,2,0,2005,5,2005,have admiration and respect for
Engineering,Ohio,Off-Campus University Housing,University,Female,PT,Non-Athlete,25,M,1986,,138,64,68,2.1,2.4,0,1,1,1990,90,1993,
Construction Trades,Massachusetts,Commuter,All Scholarship Types,Male,PT,Non-Athlete,20,S,1998,,54,31,13,2.1,3.1,0,1,3,2002,2,2005,
"Homeland Security, Law Enforcement, Firefighting",Oklahoma,Off-Campus University Housing,Other,Male,FT,Athelete,18,M,2000,,132,57,37,0.75,4,4,1,1,2004,4,2008,
History,Northern Marianas,Off-Campus University Housing,None,Female,FT,Non-Athlete,21,M,1993,,12,5,3,0.75,1.9,4,1,2,1997,97,2001,
"Foreign Languages, Literatures, and Linguistics",West Virginia,Off-Campus Other,Other,Female,PT,Non-Athlete,25,M,1995,,112,107,0,1.5,3.1,0,1,0,1999,99,2001,works efficiently and effectively
"Homeland Security, Law Enforcement, Firefighting",American,On-Campus Dorm,None,Female,FT,Athelete,25,M,2002,,75,75,0,3.2,3.2,0,2,4,2006,6,2010,will measure up to your high standards
Construction Trades,Texas,On-Campus University Housing,Other,Female,FT,Non-Athlete,19,M,2002,,101,0,39,2.1,2.2,0,1,0,2006,6,2009,
Aviation,Alaska,Off-Campus Other,None,Male,FT,Non-Athlete,24,M,2002,,113,41,5,1.7,3.8,3,2,1,2006,6,2007,Self-starter
Engineering Technologies and Engineering-Related Fields,Missouri,Commuter,None,Male,PT,RA,17,S,1986,,66,63,2,3.8,3.2,4,1,0,1990,90,1994,
Biological and Biomedical Sciences,Nebraska,Off-Campus Other,Other,Male,FT,Non-Athlete,20,M,1991,,106,76,1,2.8,3.2,3,1,1,1995,95,1998,
Engineering Technologies and Engineering-Related Fields,New Hampshire,Off-Campus Other,Other,Female,FT,RA,21,M,2003,,44,28,5,1.6,1.1,4,1,0,2007,7,2008,will meet your expectations
Education,Minnesota,Off-Campus Other,Other,Male,PT,Non-Athlete,22,M,1998,,47,43,1,,4,3,2,3,2002,2,2006,a creative problem-solver
Engineering Technologies and Engineering-Related Fields,Palau,Off-Campus University Housing,Private,Female,FT,Non-Athlete,24,M,1999,,29,4,4,0.75,2.3,0,1,4,2003,3,2005,handles responsibility well
Undeclared,Louisiana,On-Campus Dorm,None,Female,FT,Athelete,25,S,2000,,150,27,79,0.75,4,3,1,4,2004,4,2005,has a flair for organization
"Business, Management, Marketing, and Related Support Services",Delaware,Commuter,None,Female,PT,Non-Athlete,17,S,1997,,81,19,32,2.2,1.5,1,1,1,2001,1,2003,
"Agriculture, Agriculture Operations, and Related Sciences",Connecticut,On-Campus University Housing,None,Male,PT,Athelete,22,S,1988,,18,14,0,4,3.8,1,1,0,1992,92,1994,
"Homeland Security, Law Enforcement, Firefighting",Louisiana,On-Campus Dorm,University,Female,FT,Non-Athlete,24,S,1989,,79,26,42,1.9,3.3,4,2,2,1993,93,1993,give my unqualified recommendation
Undeclared,Louisiana,Commuter,University,Female,FT,Athelete,25,S,2000,,137,49,80,2.5,3.6,3,2,0,2004,4,2004,
Architecture and Related Services,Florida,Commuter,All Scholarship Types,Female,FT,Non-Athlete,18,M,1988,,68,3,36,1.7,3.8,3,2,2,1992,92,1993,
Mathematics and Statistics,Minnesota,On-Campus University Housing,Other,Female,PT,Athelete,19,M,1985,,50,42,5,1.1,3.1,4,1,2,1989,89,1990,Applies themself
Liberal Arts and Sciences Studies and Humanities,All Locations,Off-Campus Other,Private,Male,PT,Athelete,19,S,1998,,6,3,1,2.9,3.7,3,2,0,2002,2,2006,Demonstraates leadership
Family and Consumer Sciences/human Sciences,New Mexico,Commuter,Other,Male,FT,RA,19,M,1992,,58,26,17,3.6,2.2,0,2,2,1996,96,1998,writes sentence or paragraph
Engineering,Alabama,On-Campus University Housing,All Scholarship Types,Male,PT,Non-Athlete,23,S,1993,,115,14,81,3.8,1.8,4,2,4,1997,97,1999,will be a credit to your
"Area, Ethnic, Cultural, Gender, and Group Studies",Dist. of Columbia,Commuter,Private,Female,FT,RA,18,S,2000,,83,63,2,3.8,2.3,2,2,2,2004,4,2004,writes sentence or paragraph
Family and Consumer Sciences/human Sciences,Vermont,Commuter,Other,Female,PT,Non-Athlete,21,S,1996,,29,23,0,2.9,2.3,2,1,1,2000,0,2003,
Legal Professions and Studies,Colorado,On-Campus University Housing,Private,Male,FT,Non-Athlete,17,M,1986,,77,16,56,1.2,2.7,0,1,2,1990,90,1990,should be given serious consideration
Undeclared,Georgia,Commuter,All Scholarship Types,Female,FT,RA,21,M,1988,,59,15,12,3.6,2,2,2,3,1992,92,1992,
Health Professions and Related Programs,Washington,Off-Campus University Housing,None,Female,FT,RA,18,S,1993,,120,113,0,1.5,3.9,3,1,3,1997,97,2000,
"Foreign Languages, Literatures, and Linguistics",Louisiana,Off-Campus Other,All Scholarship Types,Male,PT,Non-Athlete,18,M,2005,,67,28,6,1,3.9,1,1,0,2009,9,2011,hope this information proves helpful
"Agriculture, Agriculture Operations, and Related Sciences",Delaware,On-Campus University Housing,Other,Female,FT,Non-Athlete,22,M,2002,,108,37,35,1.2,1,0,1,3,2006,6,2009,
Human Services,Puerto Rico,Commuter,Other,Female,PT,Non-Athlete,24,S,1995,,43,1,37,3.4,1.6,3,1,1,1999,99,2003,
Undeclared,Georgia,Off-Campus University Housing,All Scholarship Types,Female,FT,Athelete,18,M,1993,,128,74,39,2.4,3.7,3,2,1,1997,97,1998,
Family and Consumer Sciences/human Sciences,Connecticut,On-Campus University Housing,None,Female,FT,Athelete,23,S,1987,,104,76,24,3.9,3.4,1,2,1,1991,91,1995,
Human Services,Puerto Rico,On-Campus University Housing,Private,Female,FT,RA,25,S,2001,,68,65,1,2.2,1.2,2,2,3,2005,5,2008,
Engineering Technologies and Engineering-Related Fields,All Locations,On-Campus Dorm,None,Female,PT,Athelete,18,S,1995,,137,92,31,3.1,4,1,2,2,1999,99,2000,
Biological and Biomedical Sciences,South Carolina,On-Campus Dorm,None,Male,FT,RA,19,S,1992,,16,13,2,1.7,3.5,4,1,2,1996,96,1999,
Aviation,Iowa,On-Campus University Housing,University,Male,PT,Non-Athlete,23,M,2005,,109,37,44,3.8,1.3,0,2,2,2009,9,2012,handles responsibility well
Engineering Technologies and Engineering-Related Fields,South Carolina,Commuter,Private,Female,FT,RA,20,S,1997,,116,45,26,3.8,3.7,2,2,0,2001,1,2005,follows tasks through to completion
Library Science,Minnesota,On-Campus Dorm,University,Male,FT,Non-Athlete,17,S,2000,,5,4,0,2.3,2.7,4,2,3,2004,4,2006,is mature beyond her years
English Language and Literature/letters,Alabama,Commuter,University,Female,PT,Athelete,25,S,1987,,133,15,84,1.9,3.5,4,1,4,1991,91,1994,communicates effectively in writing
Engineering Technologies and Engineering-Related Fields,Kentucky,Off-Campus Other,Private,Female,FT,Non-Athlete,21,S,1990,,110,30,0,3.1,2.9,0,2,3,1994,94,1994,works independently and effectively
Legal Professions and Studies,Minnesota,Commuter,Private,Male,FT,Athelete,17,M,1995,,121,27,53,0.75,3.5,4,2,4,1999,99,2000,
"Agriculture, Agriculture Operations, and Related Sciences",South Dakota,Off-Campus University Housing,All Scholarship Types,Male,PT,Non-Athlete,21,S,1998,,74,59,13,2.7,2.9,4,1,3,2002,2,2006,
"Homeland Security, Law Enforcement, Firefighting",New Hampshire,Commuter,None,Female,FT,Athelete,21,S,2005,,132,8,117,2.3,3.6,2,1,1,2009,9,2009,
"Agriculture, Agriculture Operations, and Related Sciences",Connecticut,On-Campus University Housing,Other,Female,FT,Athelete,21,M,2000,,14,3,3,2.1,3.1,3,2,2,2004,4,2007,will be a great addition to
Mathematics and Statistics,Georgia,On-Campus Dorm,Private,Female,FT,Non-Athlete,18,S,1986,,54,25,0,3,1.3,3,2,3,1990,90,1991,
Undeclared,Arkansas,Commuter,Private,Female,PT,RA,17,S,2003,,106,43,7,1.6,1,1,1,4,2007,7,2010,was a student in two of my classes
"Business, Management, Marketing, and Related Support Services",Alabama,On-Campus University Housing,All Scholarship Types,Male,PT,RA,19,S,2000,,26,6,6,3.8,1.5,4,1,0,2004,4,2005,
Family and Consumer Sciences/human Sciences,Vermont,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,24,S,1986,,18,1,10,1.3,1.2,4,2,0,1990,90,1992,meticulous attention to detail
Liberal Arts and Sciences Studies and Humanities,Missouri,Off-Campus Other,All Scholarship Types,Male,FT,Athelete,21,M,1998,,113,91,20,2.9,3.7,0,2,1,2002,2,2006,will meet your expectations
Communications Technologies/technicians and Support Services,Arizona,Off-Campus University Housing,None,Male,FT,Athelete,25,S,2003,,93,70,15,1.9,4,0,1,3,2007,7,2011,
Mathematics and Statistics,Texas,Commuter,Other,Female,PT,RA,18,M,1992,,31,13,18,3.9,2.6,2,2,2,1996,96,1998,
"Homeland Security, Law Enforcement, Firefighting",Kansas,Commuter,Other,Female,FT,RA,19,M,2005,,26,20,0,3.5,,1,2,2,2009,9,2013,
Communications Technologies/technicians and Support Services,Missouri,On-Campus Dorm,Private,Female,FT,Athelete,21,S,1992,,40,35,0,3.6,3.2,1,2,1,1996,96,1996,
Library Science,South Carolina,Off-Campus Other,University,Male,FT,RA,21,M,1995,,20,16,2,2.8,3.3,4,2,2,1999,99,2001,has a flair for organization
All Majors,Nevada,On-Campus University Housing,Other,Female,PT,Athelete,18,M,1988,,72,57,15,2.6,3.9,2,2,3,1992,92,1996,is a tireless worker
"Homeland Security, Law Enforcement, Firefighting",Arkansas,Off-Campus Other,Private,Female,FT,Non-Athlete,19,S,2003,,35,7,14,3,1.2,0,2,0,2007,7,2009,if you have further questions
Computer and Information Sciences and Support Services,Virgin Islands,Off-Campus Other,All Scholarship Types,Female,FT,RA,22,S,1999,,130,28,52,3.1,3,2,1,2,2003,3,2006,first became acquainted with
Military Technologies and Applied Sciences,Nevada,Commuter,Private,Male,FT,Non-Athlete,17,S,1999,,139,1,47,1.9,3.9,1,2,2,2003,3,2006,
English Language and Literature/letters,Colorado,Off-Campus Other,Private,Female,PT,Athelete,24,S,1994,,147,103,9,3.8,3.7,3,2,2,1998,98,2002,keeps calm under pressure
"Business, Management, Marketing, and Related Support Services",Indiana,Commuter,Private,Male,FT,Athelete,24,M,2001,,31,28,3,3.7,3.4,0,2,2,2005,5,2005,
Human Services,Mississippi,Commuter,None,Male,FT,Non-Athlete,18,S,1992,,120,72,33,2.7,2.6,0,1,2,1996,96,2000,
Education,Hawaii,On-Campus Dorm,Private,Female,PT,Athelete,24,M,2001,,6,4,2,3.2,3.8,4,2,3,2005,5,2005,
Human Services,Michigan,On-Campus University Housing,Private,Male,FT,Non-Athlete,17,S,2000,,134,62,40,1,2.2,3,1,3,2004,4,2007,is innovative and creative
Engineering Technologies and Engineering-Related Fields,Wyoming,Off-Campus Other,Other,Female,FT,Non-Athlete,25,S,1990,,23,16,2,,2.4,2,1,1,1994,94,1995,
Aviation,Micronesia,On-Campus University Housing,Other,Female,FT,Athelete,21,M,1997,,129,111,17,1.9,3.7,3,2,2,2001,1,2004,a creative problem-solver
Biological and Biomedical Sciences,Michigan,Off-Campus University Housing,Other,Male,FT,Non-Athlete,17,S,1990,,112,76,27,3.1,2.9,0,2,1,1994,94,1997,
Education,Rhode Island,On-Campus Dorm,Private,Female,PT,RA,20,M,1991,,118,79,6,3.9,1.5,2,2,3,1995,95,1999,
English Language and Literature/letters,New Mexico,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,21,M,1997,,23,10,0,2.3,0.75,2,2,4,2001,1,2002,her sensitivity and concern for others
Construction Trades,Wisconsin,On-Campus University Housing,None,Female,PT,Athelete,17,S,1992,,27,12,2,3.9,3.8,2,2,1,1996,96,1997,would be pleased to provide a reference for
"Business, Management, Marketing, and Related Support Services",Rhode Island,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,22,M,2002,,56,33,2,1.5,,4,2,2,2006,6,2009,
Legal Professions and Studies,Utah,Off-Campus Other,None,Male,FT,Non-Athlete,24,S,2000,,132,126,6,3.4,3.8,4,1,0,2004,4,2004,his qualifications and performance
History,Tennessee,On-Campus Dorm,Other,Male,FT,Non-Athlete,20,S,1993,,84,8,41,3.8,1.4,0,2,2,1997,97,2000,
Architecture and Related Services,Indiana,On-Campus Dorm,Private,Female,PT,Non-Athlete,22,M,2000,,75,44,20,2.4,0.75,1,2,3,2004,4,2007,
Construction Trades,Nevada,Off-Campus University Housing,Other,Female,PT,RA,22,S,2002,,3,3,0,3.1,2,4,2,3,2006,6,2007,
"Area, Ethnic, Cultural, Gender, and Group Studies",Pennsylvania,On-Campus Dorm,Other,Male,PT,Athelete,25,S,2000,,92,70,9,1.4,3.3,4,2,3,2004,4,2004,is intelligent and ambitious
English Language and Literature/letters,Alabama,Off-Campus University Housing,Private,Female,FT,RA,24,S,1988,,59,20,24,3.4,3.2,2,2,3,1992,92,1995,
History,Colorado,Commuter,None,Female,PT,Athelete,23,S,2002,,19,19,0,3.1,3.6,2,2,4,2006,6,2008,
Mechanic and Repair Technologies/technicians,Hawaii,Commuter,University,Male,FT,Non-Athlete,22,M,2002,,146,129,13,2.9,2.9,0,2,1,2006,6,2009,willing to go beyond what is required
